"Origin,""colYear"",""colMonth"",""prom_arribades"""
"BHM,""1999"",""1"",""-4.0000"""
"BHM,""1999"",""7"",""-6.0000"""
"BHM,""1999"",""11"",""-12.0000"""
"BHM,""2000"",""1"",""-10.0000"""
"BHM,""2007"",""3"",""-11.0000"""
"BHM,""2008"",""12"",""-18.0000"""
"BIL,""1988"",""3"",""26.0000"""
"BIL,""1997"",""3"",""2.0000"""
"BIS,""1989"",""1"",""11.0000"""
"BIS,""1992"",""7"",""23.0000"""
"BNA,""1988"",""5"",""-11.0000"""
"BNA,""1989"",""2"",""11.0000"""
"BNA,""1989"",""4"",""29.0000"""
"BNA,""1989"",""7"",""-2.0000"""
"BNA,""1990"",""1"",""1.0000"""
"BNA,""1990"",""2"",""-5.0000"""
"BNA,""1991"",""7"",""17.0000"""
"BNA,""1993"",""3"",""4.0000"""
"BNA,""1993"",""12"",""-9.0000"""
"BNA,""1994"",""8"",""-11.0000"""
"BNA,""1994"",""10"",""-6.0000"""
"BNA,""1995"",""3"",""1.5000"""
"BNA,""1995"",""7"",""-2.0000"""
"BNA,""1995"",""12"",""-8.0000"""
"BNA,""1996"",""12"",""10.0000"""
"BNA,""1997"",""6"",""26.0000"""
"BNA,""1997"",""7"",""34.0000"""
"BNA,""1997"",""9"",""-15.0000"""
"BNA,""1997"",""12"",""-7.0000"""
"BNA,""1999"",""1"",""38.0000"""
"BNA,""1999"",""6"",""5.0000"""
"BNA,""1999"",""7"",""-10.0000"""
"BNA,""2000"",""3"",""-15.0000"""
"BNA,""2000"",""4"",""7.0000"""
"BNA,""2000"",""7"",""-6.0000"""
"BNA,""2000"",""8"",""39.0000"""
"BNA,""2000"",""9"",""5.5000"""
"BNA,""2000"",""10"",""108.0000"""
"BNA,""2001"",""9"",""28.0000"""
"BNA,""2003"",""3"",""-2.0000"""
"BNA,""2003"",""8"",""-14.0000"""
"BNA,""2004"",""2"",""9.0000"""
"BNA,""2004"",""3"",""-11.0000"""
"BNA,""2004"",""5"",""-5.0000"""
"BNA,""2004"",""9"",""-13.0000"""
"BNA,""2004"",""10"",""-5.0000"""
"BNA,""2005"",""8"",""11.0000"""
"BNA,""2006"",""5"",""-4.0000"""
"BNA,""2006"",""8"",""-7.5000"""
"BNA,""2006"",""10"",""-10.0000"""
"BNA,""2007"",""9"",""-2.0000"""
"BNA,""2008"",""3"",""39.0000"""
"BNA,""2008"",""10"",""138.0000"""
"BNA,""2008"",""12"",""-9.0000"""
"BOI,""1989"",""4"",""-7.0000"""
"BOI,""1989"",""5"",""10.0000"""
"BOI,""1996"",""5"",""-4.0000"""
"BOI,""1997"",""1"",""43.0000"""
"BOI,""1997"",""10"",""0.0000"""
"BOI,""2002"",""12"",""-10.0000"""
"BOI,""2003"",""7"",""-8.0000"""
"BOI,""2004"",""6"",""18.0000"""
"BOI,""2007"",""10"",""-9.0000"""
"BOS,""1987"",""10"",""-3.0000"""
"BOS,""1987"",""11"",""8.0000"""
"BOS,""1988"",""1"",""28.0000"""
"BOS,""1988"",""7"",""5.0000"""
"BOS,""1988"",""9"",""-10.0000"""
"BOS,""1988"",""12"",""15.0000"""
"BOS,""1989"",""4"",""8.0000"""
"BOS,""1989"",""5"",""0.0000"""
"BOS,""1989"",""6"",""-4.0000"""
"BOS,""1989"",""12"",""22.0000"""
"BOS,""1990"",""5"",""7.0000"""
"BOS,""1990"",""6"",""-15.0000"""
"BOS,""1991"",""2"",""11.0000"""
"BOS,""1991"",""4"",""37.5000"""
"BOS,""1991"",""8"",""-3.0000"""
"BOS,""1991"",""9"",""1.0000"""
"BOS,""1991"",""12"",""-17.0000"""
"BOS,""1992"",""1"",""-11.0000"""
"BOS,""1992"",""4"",""35.0000"""
"BOS,""1992"",""5"",""8.5000"""
"BOS,""1993"",""1"",""19.0000"""
"BOS,""1993"",""4"",""21.0000"""
"BOS,""1993"",""8"",""-3.0000"""
"BOS,""1993"",""12"",""16.0000"""
"BOS,""1994"",""3"",""3.0000"""
"BOS,""1994"",""4"",""-16.0000"""
"BOS,""1994"",""6"",""-3.0000"""
"BOS,""1994"",""7"",""-3.0000"""
"BOS,""1994"",""9"",""44.0000"""
"BOS,""1994"",""11"",""-10.0000"""
"BOS,""1995"",""2"",""-27.0000"""
"BOS,""1995"",""3"",""4.0000"""
"BOS,""1995"",""4"",""-22.0000"""
"BOS,""1995"",""5"",""8.0000"""
"BOS,""1995"",""10"",""2.0000"""
"BOS,""1995"",""11"",""4.0000"""
"BOS,""1995"",""12"",""-3.0000"""
"BOS,""1996"",""2"",""-12.5000"""
"BOS,""1996"",""3"",""13.0000"""
"BOS,""1996"",""12"",""33.0000"""
"BOS,""1997"",""4"",""-10.5000"""
"BOS,""1997"",""5"",""12.0000"""
"BOS,""1997"",""6"",""-4.0000"""
"BOS,""1998"",""2"",""0.0000"""
"BOS,""1998"",""4"",""0.0000"""
"BOS,""1998"",""5"",""-9.0000"""
"BOS,""1998"",""6"",""-9.0000"""
"BOS,""1998"",""9"",""-5.0000"""
"BOS,""1998"",""10"",""9.0000"""
"BOS,""1999"",""1"",""1.0000"""
"BOS,""1999"",""2"",""-16.0000"""
"BOS,""1999"",""4"",""-15.0000"""
"BOS,""1999"",""5"",""-26.0000"""
"BOS,""1999"",""7"",""20.0000"""
"BOS,""2000"",""7"",""13.0000"""
"BOS,""2000"",""10"",""-2.0000"""
"BOS,""2001"",""1"",""-40.0000"""
"BOS,""2001"",""3"",""22.0000"""
"BOS,""2001"",""4"",""-1.0000"""
"BOS,""2001"",""6"",""16.0000"""
"BOS,""2001"",""7"",""7.5000"""
"BOS,""2001"",""9"",""-13.0000"""
"BOS,""2002"",""3"",""59.0000"""
"BOS,""2002"",""6"",""6.5000"""
"BOS,""2003"",""1"",""-6.0000"""
"BOS,""2003"",""11"",""-9.0000"""
"BOS,""2004"",""2"",""-2.5000"""
"BOS,""2004"",""11"",""-16.0000"""
"BOS,""2004"",""12"",""103.0000"""
"BOS,""2005"",""3"",""-5.0000"""
"BOS,""2005"",""5"",""-9.0000"""
"BOS,""2005"",""6"",""-23.0000"""
"BOS,""2005"",""7"",""-20.0000"""
"BOS,""2005"",""9"",""-8.0000"""
"BOS,""2005"",""12"",""-4.0000"""
"BOS,""2006"",""1"",""-3.0000"""
"BOS,""2006"",""5"",""48.0000"""
"BOS,""2006"",""6"",""17.0000"""
"BOS,""2006"",""7"",""-26.0000"""
"BOS,""2006"",""12"",""139.0000"""
"BOS,""2007"",""3"",""18.0000"""
"BOS,""2007"",""10"",""-0.5000"""
"BOS,""2007"",""11"",""-13.0000"""
"BOS,""2007"",""12"",""-20.0000"""
"BOS,""2008"",""7"",""217.0000"""
"BOS,""2008"",""8"",""2.0000"""
"BOS,""2008"",""10"",""-14.0000"""
"BOS,""2008"",""11"",""-30.0000"""
"BOS,""2008"",""12"",""15.0000"""
"BTR,""1988"",""7"",""1.0000"""
"BTR,""1990"",""2"",""16.0000"""
"BTR,""1991"",""5"",""-13.0000"""
"BTR,""1995"",""1"",""13.0000"""
"BTR,""1995"",""12"",""6.0000"""
"BTR,""2005"",""10"",""23.0000"""
"BTV,""1987"",""10"",""0.0000"""
"BTV,""1988"",""3"",""-3.0000"""
"BTV,""1996"",""10"",""-5.0000"""
"BTV,""1996"",""11"",""-24.0000"""
"BTV,""1998"",""8"",""-6.0000"""
"BTV,""2003"",""9"",""-17.0000"""
"BTV,""2006"",""3"",""-25.0000"""
"BTV,""2007"",""5"",""-14.0000"""
"BTV,""2008"",""3"",""-9.0000"""
"BUF,""1988"",""9"",""7.0000"""
"BUF,""1989"",""9"",""-13.0000"""
"BUF,""1990"",""11"",""-8.0000"""
"BUF,""1990"",""12"",""2.0000"""
"BUF,""1991"",""7"",""-28.0000"""
"BUF,""1991"",""10"",""-8.5000"""
"BUF,""1992"",""7"",""-1.0000"""
"BUF,""1993"",""5"",""-1.0000"""
"BUF,""1997"",""8"",""1.0000"""
"BUF,""1997"",""12"",""-10.0000"""
"BUF,""1998"",""4"",""-2.0000"""
"BUF,""1998"",""11"",""13.0000"""
"BUF,""2000"",""8"",""16.0000"""
"BUF,""2003"",""11"",""-5.0000"""
"BUF,""2003"",""12"",""-15.0000"""
"BUF,""2005"",""5"",""16.0000"""
"BUF,""2005"",""7"",""5.0000"""
"BUF,""2006"",""11"",""119.0000"""
"BUF,""2007"",""1"",""-5.0000"""
"BUF,""2007"",""4"",""-29.0000"""
"BUF,""2008"",""9"",""-8.0000"""
"BUR,""1987"",""12"",""0.0000"""
"BUR,""1988"",""8"",""4.0000"""
"BUR,""1988"",""10"",""21.0000"""
"BUR,""1989"",""2"",""10.0000"""
"BUR,""1990"",""1"",""40.0000"""
"BUR,""1990"",""7"",""-1.0000"""
"BUR,""1991"",""6"",""-10.0000"""
"BUR,""1991"",""9"",""-3.0000"""
"BUR,""1992"",""4"",""-5.0000"""
"BUR,""1994"",""5"",""15.0000"""
"BUR,""1994"",""6"",""-7.0000"""
"BUR,""1994"",""12"",""-1.0000"""
"BUR,""1995"",""7"",""-6.0000"""
"BUR,""1999"",""6"",""10.0000"""
"BUR,""2000"",""6"",""12.0000"""
"BUR,""2003"",""12"",""45.0000"""
"BUR,""2004"",""6"",""39.0000"""
"BUR,""2005"",""7"",""28.5000"""
